w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
1,1,Navada,Khategaon,M.P,Khategaon,Dewas,Khategaon,9-Apr-2017,Shiksha Kutir,"Gond (ST), Kewat(OBC)",
2,2,Eklera,Eklera,M.P,Satwas,Dewas,Kannod,1-Sep-2017,Study Center,"Korku,Bhilala & Bhil (ST)",
3,3,Devpura,Devpura,M.P,Ichhawar,Sehore,Ichhawar,8-Feb-2018,Study Center,Korku (ST),
4,4,Chhipaner,Machwas,M.P,Bhairunda,Sehore,Bhairunda,9-Feb-2018,Study Center,"Gond & Korku (ST), Ateriya & Damade (SC) ,Kewat(OBC)",
5,5,Silphodkheda,Machwas,M.P,Khategaon,Dewas,Khategaon,1-Mar-2018,Study Center,"Korku & Gond (ST), Harijan(SC)",
6,6,Dundalava,Devpura,M.P,Ichhawar,Sehore,Ichhawar,3-Mar-2018,Study Center,Korku (ST),
7,7,Bijabhairu,Devpura,M.P,Ichhawar,Sehore,Ichhawar,8-Mar-2018,Study Center,Bhil (ST),
8,8,Bedgaon,Eklera,M.P,Satwas,Dewas,Kannod,24-Mar-2018,Study Center,"Korku & Bhilala (ST),Gavli & Nayak (OBC)",
9,9,Jamli,Devpura,M.P,Ichhawar,Sehore,Ichhawar,1-Apr-2018,Study Center,Korku & Gond (ST),
10,,Nanasa,,M.P,Kannod,Dewas,Kannod,10-Apr-2018,Closed,"Gond (ST), Harijan & Balai (SC)",
11,,Sirsodiya,,M.P,Kannod,Dewas,Kannod,10-Apr-2018,Closed,"Gond (ST), Harijan & Balai (SC)",
12,,Sukras,,M.P,Khategaon,Dewas,Kannod,11-Apr-2018,Closed,"Korku & Gond (ST), Harijan & Balai (SC)",
13,10,Surani,Khategaon,M.P,Kannod,Dewas,Kannod,11-Apr-2018,Study Center,"Korku & Gond (ST), Harijan & Balai (SC)",
14,11,Bodassil,Mugwani,M.P,Ghughari,Mandla,Mohgaon,13-Apr-2018,Shiksha Kutir,Gond & Baiga (ST),
15,12,Moyapani,Devpura,M.P,Ichhawar,Sehore,Ichhawar,16-Apr-2018,Study Center,Korku & Bheel (ST),
16,13,Umar,Umar,M.P,Satwas,Dewas,Kannod,16-Apr-2018,Study Center,"Korku (ST),Gavli (OBC)",
17,14,Machwas,Machwas,M.P,Khategaon,Dewas,Khategaon,17-Apr-2018,Study Center,"Korku ,Bhil & Gond (ST),Harijan(SC)",
18,15,Pura,Umar,M.P,Satwas,Dewas,Kannod,25-Apr-2018,Study Center,"Korku(ST),Harijan(SC)",
19,16,Barwai,Khategaon,M.P,Khategaon,Dewas,Khategaon,30-Apr-2018,Study Center,Korku & Gond (ST),
20,17,Dhaikheda,Nadan,M.P,Ichhawar,Sehore,Ichhawar,1-May-2018,Shiksha Kutir,Bhil (ST),
21,18,Sulgaon,Machwas,M.P,Khategaon,Dewas,Khategaon,2-May-2018,Study Center,"Gond & Korku (ST), Harijan (SC)",
22,,Chakaldi,,M.P,Rehti,Sehore,Bhairunda,5-May-2018,Closed,Gond & Bhil (ST),
23,19,KaliRatdi,Umar,M.P,Satwas,Dewas,Kannod,9-May-2018,Study Center,Korku & Bhil(ST),
24,20,Postipura,Punjapura,M.P,Udainagar,Dewas,Bagli,10-May-2018,Study Center,Korku & Bhilala(ST),
25,21,Niwardi,Machwas,M.P,Khategaon,Dewas,Khategaon,10-May-2018,Study Center,Gond(ST),
26,22,Veerpura,Nadan,M.P,Ichhawar,Sehore,Ichhawar,14-May-2018,Study Center,"Gond,Korku & Bhil (ST)",
27,23,Panigaon,Devpura,M.P,Ichhawar,Sehore,Ichhawar,14-May-2018,Study Center,Bhil (ST),
28,24,Umardih,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,16-May-2018,Shiksha Kutir,Gond & Baiga (ST),
29,25,Patadei,Mugwani,M.P,Ghughari,Mandla,Mohgaon,16-May-2018,Shiksha Kutir,Gond & Baiga (ST),
30,26,Machla,Machla,M.P,Ghughari,Mandla,Mohgaon,16-May-2018,Shiksha Kutir,Gond & Baiga (ST),
31,27,Kumharra,Mugwani,M.P,Ghughari,Mandla,Mohgaon,16-May-2018,Shiksha Kutir,Gond & Baiga (ST),
32,28,Chubhawal,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,16-May-2018,Shiksha Kutir,Gond & Baiga (ST),
33,,Kanwlasa,,M.P,Khategaon,Dewas,Khategaon,18-May-2018,Closed,"Korku(ST),Harijan(SC)",
34,29,Ratatalai,Ratatalai,M.P,Udainagar,Dewas,Bagli,19-May-2018,Study Center,"Bhilala(ST),Harijan(SC)",
35,30,Bhayali,Kataphod,M.P,Satwas,Dewas,Kannod,21-May-2018,Study Center,"Bhilala & Gond (ST),Muslim,Harijan(SC)",
36,31,Pipardarra,Mugwani,M.P,Ghughari,Mandla,Mohgaon,24-May-2018,Shiksha Kutir,Gond(ST),
37,32,Pipariya,Machla,M.P,Ghughari,Mandla,Mohgaon,28-May-2018,Shiksha Kutir,"Gond(ST),Viswakarma(OBC)",
38,33,Mugwani,Mugwani,M.P,Ghughari,Mandla,Mohgaon,28-May-2018,Shiksha Kutir,Gond(ST),
39,34,Singodi Pathar,Kataphod,M.P,Satwas,Dewas,Kannod,29-May-2018,Study Center,"Bhilala,Gond & Korku(ST)",
40,35,MansingPura,Ratatalai,M.P,Udainagar,Dewas,Bagli,30-May-2018,Study Center,"Bhilala,Gond & Korku(ST),Harijan(SC)",
41,36,Bharla Pathar,Nadan,M.P,Ichhawar,Sehore,Ichhawar,31-May-2018,Study Center,Bhil(ST),
42,37,Alipur,Devpura,M.P,Ichhawar,Sehore,Ichhawar,31-May-2018,Study Center,Bhil(ST),
43,38,Patrani,Machwas,M.P,Khategaon,Dewas,Khategaon,11-June-2018,Study Center,"Gond(ST),Harijan(Sc)",
44,39,Mandaleshwar,Khategaon,M.P,Khategaon,Dewas,Khategaon,20-Jun-2018,Shiksha Kutir,Kewat(OBC),
45,40,KeotiyaPani,Punjapura,M.P,Udainagar,Dewas,Bagli,5-Jul-2018,study Center,Bhilala & Bhil(ST),
46,41,Khisi,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,5-Jul-2018,Shiksha Kutir,Gond(ST),
47,42,Surmanya,Umar,M.P,Satwas,Dewas,Kannod,6-Jul-2018,Study Center,Korku(ST) & Nayak (OBC),
48,43,Kolukhedi,Devpura,M.P,Ichhawar,Sehore,Ichhawar,6-Jul-2018,Study Center,Bhil(ST),
49,44,Nadan,Nadan,M.P,Ichhawar,Sehore,Ichhawar,7-Jul-2018,Study Center,"Gond ,Bhil & Korku(ST),Muslims",
50,45,Kholchipura,Punjapura,M.P,Udainagar,Dewas,Bagli,26-Jul-2018,Study Center,"Bhil,Bhilala & Korku(ST)",
51,46,Nimlay,Kataphod,M.P,Satwas,Dewas,Kannod,23-Aug-2018,Shiksha Kutir,"Gond,Korku & Bhilala (ST),Gavli(OBC)",
52,47,Agra Khurd,Ratatalai,M.P,Udainagar,Dewas,Bagli,28-Aug-2018,Study Center,"Bhilala(ST),Harijan(SC),Mankar(OBC)",
53,48,Pankua,Ratatalai,M.P,Udainagar,Dewas,Bagli,28-Aug-2018,Study Center,"Bhilala(ST),Harijan(SC),Mankar(OBC)",
54,49,Sohankheda,Navalpura,M.P,Ichhawar,Sehore,Ichhawar,31-Aug-2018,Study Center,"Korku(ST),Harijan(SC)",
55,50,Jaamun Chhapri,Navalpura,M.P,Ichhawar,Sehore,Ichhawar,4-Sep-2018,Study Center,"Korku & Bheel(ST),Harijan(SC)",
56,51,Thana,Eklera,M.P,Satwas,Dewas,Kannod,11-Sep-2018,Study Center,"Bhil,Bhilala(ST) & Muslim(OBC)",
57,52,Bheelo ka Tappar,Eklera,M.P,Satwas,Dewas,Kannod,12-Sep-2018,Study Center,Bhil(ST),
58,53,Sankota,Nadan,M.P,Bhairunda,Sehore,Bhairunda,14-Sep-2018,Study Center,Bhil(ST),
59,54,Durganayak,Nadan,M.P,Bhairunda,Sehore,Bhairunda,25-Sep-2018,Study Center,Bhil(ST),
60,55,Mandalgarh,Nadan,M.P,Ichhawar,Sehore,Ichhawar,25-Sep-2018,Study Center,Bhil(ST),
61,,Lotiya,,M.P,Ichhawar,Sehore,Ichhawar,29-Sep-2018,Closed,"Bhil & Korku(ST),Harijan(SC),OBC",
62,56,Suapani,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,1-Oct-2018,Shiksha Kutir,"Bhil & Gond(ST),Harijan(SC)",
63,57,Nayapura,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,5-Oct-2018,Seva kutir,"Bhil & Gond(ST),Harijan(SC)",
64,58,Dangadungi,Ratatalai,M.P,Udainagar,Dewas,Bagli,10-Oct-2018,Study Center,Bhil & Bhilala(ST),
65,59,Neemkheda,Ratatalai,M.P,Udainagar,Dewas,Bagli,11-Oct-2018,Study Center,"Bhilala,korku(ST) & Muslim (OBC) ",
66,60,Kuri,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,11-Oct-2018,Study Center,Bhil(ST),
67,61,Beragada,Eklera,M.P,Satwas,Dewas,Kannod,27-Oct-2018,Study Center,"Gond,Korku,&Bhilala(ST),Balai(SC),Muslim & Gavli(OBC)",
68,62,Kanda,Kataphod,M.P,Satwas,Dewas,Kannod,27-Oct-2018,Study Center,"Gond,Korku,Bhil & Bhilala(ST),Balai(SC),Muslim & Gavli(OBC)",
69,63,Baglikheda,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,27-Oct-2018,Study Center,Bhil(ST),
70,64,Umariya,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,30-Oct-2018,Shiksha Kutir,"Gond(ST),OBC",
71,65,Khamriya,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,30-Oct-2018,Shiksha Kutir,"Gond,Baiga(ST),OBC",
72,66,Borpadaw,Punjapura,M.P,Udainagar,Dewas,Bagli,30-Oct-2018,Study Center,"Bhilala(ST),Balai(SC),OBC",
73,67,Kosmi,Nadan,M.P,Bhairunda,Sehore,Bhairunda,30-Oct-2018,Shiksha Kutir,Bhil(ST),
74,68,Rupalyapura,Punjapura,M.P,Udainagar,Dewas,Bagli,31-Oct-2018,Study Center,"Korku,Bhilala(ST),Banjara(OBC)",
75,69,Bhikupura,Ratatalai,M.P,Udainagar,Dewas,Bagli,31-Oct-2018,Study Center,"Gond,Korku,Bhil& Bhilala(ST),Harijan(SC),Muslim(OBC)",
76,70,Dongargaon,Machla,M.P,Ghughari,Mandla,Mohgaon,5-Nov-2018,Shiksha Kutir,"Gond,Baiga(ST),OBC",
77,71,Khapa,Chakaldi,M.P,Rehti,Sehore,Bhairunda,23-Nov-2018,Seva kutir,"Gond,Bhil(ST),Harijan(SC)",
78,72,Rani Bedri,Chakaldi,M.P,Rehti,Sehore,Bhairunda,25-Nov-2018,Study Center,Bhil(ST),
79,73,Sendrani,Umar,M.P,Satwas,Dewas,Kannod,27-Nov-2018,Shiksha Kutir,"Bhil,Bhilala & Korku (ST)",
80,74,Dehari,Kataphod,M.P,Satwas,Dewas,Kannod,27-Nov-2018,Study Center,"Gond,Bhilala & Korku (ST),Harijan(SC)",
81,75,Pat Talai,Chakaldi,M.P,Rehti,Sehore,Bhairunda,27-Nov-2018,Shiksha Kutir,"Gond,Bhil(ST)",
82,76,Chorwan,Kataphod,M.P,Satwas,Dewas,Kannod,27-Nov-2018,Study Center,"Bhilala & Gond(ST),Harijan(SC),Muslim(OBC)",
83,77,Habeeb Nagar,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,29-Nov-2018,Shiksha Kutir,"Gond,Bhil(ST),Harijan(SC)",
84,78,Jabalpur,Eklera,M.P,Satwas,Dewas,Kannod,30-Nov-2018,Study Center,Gond & Korku (ST),
85,79,Dhaman Pani,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,5-Dec-2018,Shiksha Kutir,Gond (ST),
86,80,Beelpati,Chakaldi,M.P,Rehti,Sehore,Bhairunda,13-Dec-2018,Seva kutir,Bhil(ST),
87,81,Daldala,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,14-Dec-2018,Shiksha Kutir,Gond (ST),
88,82,Dhaba,Chakaldi,M.P,Rehti,Sehore,Bhairunda,15-Dec-2018,Shiksha Kutir,"Bhil,Gond & Korku(ST)",
89,83,Chatarkota,Chakaldi,M.P,Rehti,Sehore,Bhairunda,18-Dec-2018,Study Center,Bhil(ST),
90,84,Jinwani,Kataphod,M.P,Satwas,Dewas,Kannod,28-Dec-2018,Study Center,"Bhil,Bhilala & Korku (ST),Balai & Harijan(SC),Meena(OBC)",
91,85,Kharadi,Umar,M.P,Satwas,Dewas,Kannod,28-Dec-2018,Study Center,"Bhil & Korku (ST),Harijan(SC),Jat(OBC)",
92,86,Jansur,Kataphod,M.P,Satwas,Dewas,Kannod,31-Dec-2018,Study Center,"Gond & Korku (ST),Balai & Harijan(SC),Meena(OBC)",
93,87,Kardi,Punjapura,M.P,Udainagar,Dewas,Bagli,31-Dec-2018,Study Center,"Bhil,Bhilala & Korku(ST), Harijan(SC),Banjara & Gavli(OBC)",
94,88,Navalpura,Navalpura,M.P,Ichhawar,Sehore,Ichhawar,20-Jan-2019,Study Center,"Bhil,Gond & Korku(ST)",
95,89,Mograkheda,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,25-Jan-2019,Study Center,Bhil(ST),
96,90,Jamunjheel,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,25-Jan-2019,Seva kutir,Bhil(ST),
97,91,Ratnakhedi,Navalpura,M.P,Sehore,Sehore,Sehore,25-Jan-2019,Study Center,"Bhil & Korku(ST),Rathore & Muslim(OBC)",
98,92,Unhel,Umar,M.P,Satwas,Dewas,Kannod,4-Feb-2019,Study Center,"Bhilala & Korku (ST),Balai & Harijan(SC),Muslim(OBC)",
99,93,Aabadi,Eklera,M.P,Satwas,Dewas,Kannod,4-Feb-2019,Study Center,Korku (ST),
100,94,Khamkheda,Navalpura,M.P,Ichhawar,Sehore,Ichhawar,7-Feb-2019,Study Center,Bhil(ST),
101,95,Baniyagaon,Chakaldi,M.P,Rehti,Sehore,Bhairunda,7-Feb-2019,Study Center,Bhil & Gond (ST),
102,96,Singladeh,Eklera,M.P,Satwas,Dewas,Kannod,7-Feb-2019,Study Center,"Korku (ST), Banjara (OBC)",
103,97,Sudgaon,Machla,M.P,Ghughari,Mandla,Mohgaon,25-Jun-2019,Shiksha Kutir,Gond (ST) & OBC,
104,98,Kudopani,Machla,M.P,Ghughari,Mandla,Mohgaon,25-Jun-2019,Shiksha Kutir,Gond (ST),
105,99,Badjhar,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,28-Jun-2019,Shiksha Kutir,Gond (ST) & OBC,
106,100,Amjhar,Mugwani,M.P,Ghughari,Mandla,Mohgaon,1-Jul-2019,Shiksha Kutir,"Gond & Baiga (ST) , OBC",
107,101,Harratikur,Machla,M.P,Ghughari,Mandla,Mohgaon,1-Jul-2019,Study Center,Gond (ST) & OBC,
108,102,Tiktoli,Moravan,M.P,Karahal,Sheopur,Karahal,8-Jul-2019,Seva kutir,Sahariya (ST),
109,103,Moravan,Moravan,M.P,Karahal,Sheopur,Karahal,17-Jul-2019,Shiksha Kutir,"Sahariya (ST),Jatav(SC) & OBC",
110,104,Gadi Moravan,Moravan,M.P,Karahal,Sheopur,Karahal,30-Jul-2019,Shiksha Kutir,Sahariya (ST),
111,105,Jhurgi,Mugwani,M.P,Ghughari,Mandla,Mohgaon,3-Aug-2019,Shiksha Kutir,Gond (ST) & OBC,
112,106,Ranipura,Sesaipura,M.P,Karahal,Sheopur,Karahal,5-Aug-2019,Seva kutir,Sahariya (ST) & Jatav(SC),
113,107,Basaniya,Machla,M.P,Ghughari,Mandla,Mohgaon,5-Aug-2019,Shiksha Kutir,Gond (ST) & OBC,
114,108,Panchhipani,Mugwani,M.P,Ghughari,Mandla,Mohgaon,6-Aug-2019,Shiksha Kutir,Gond (ST) & OBC,
115,109,Dob,Dob,M.P,Tamia,Chhindwara,Tamia,6-Aug-2019,Shiksha Kutir,"Bhariya & Gond(ST), Katiya(SC)",
116,110,Hirri,Dob,M.P,Tamia,Chhindwara,Tamia,9-Aug-2019,Shiksha Kutir,"Gond (ST), dehariya (SC) & OBC",
117,111,Paudi,Mugwani,M.P,Ghughari,Mandla,Mohgaon,19-Aug-2019,Shiksha Kutir,Gond (ST) & OBC,
118,112,Beelkheda Khurd,Navalpura,M.P,Sehore,Sehore,Sehore,28-Aug-2019,Study Center,"Bhil (ST),Harijan(SC)",
119,113,Baamala Dadh,Navalpura,M.P,Ichhawar,Sehore,Ichhawar,28-Aug-2019,Study Center,"Bhil,Korku & Gond (ST), OBC",
120,114,Unchi Khoree,Sesaipura,M.P,Karahal,Sheopur,Karahal,2-Sep-2019,Seva kutir,Sahariya (ST),
121,115,Jheel Pipariya,Churikala,M.P,Tamia,Chhindwara,Tamia,2-Sep-2019,Study Center,"Gond (ST),Katiya(SC) & OBC",
122,116,Dhagadiya,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,4-Sep-2019,Shiksha Kutir,Gond (ST),
123,117,Silori,Kuno,M.P,Karahal,Sheopur,Karahal,4-Sep-2019,Shiksha Kutir,Sahariya (ST),
124,118,Nidhani,Machla,M.P,Ghughari,Mandla,Mohgaon,10-Sep-2019,Study Center,Gond (ST) & OBC,
125,119,Sajkuhi,Dob,M.P,Tamia,Chhindwara,Tamia,26-Sep-2019,Shiksha Kutir,"Gond(ST),Katiya(SC) & OBC",
126,120,Bankuri,Bankuri,M.P,Karahal,Sheopur,Karahal,26-Sep-2019,Seva kutir,Sahariya (ST),
127,121,Sewaniya,Nayapura,M.P,Bhairunda,Sehore,Bhairunda,27-Sep-2019,Seva kutir,Bhil(ST),
128,122,Rajthari,Dob,M.P,Tamia,Chhindwara,Tamia,27-Sep-2019,Shiksha Kutir,"Gond(ST),Mehara(SC) & OBC",
129,123,Semra,Bankuri,M.P,Karahal,Sheopur,Karahal,27-Sep-2019,Seva kutir,"Sahariya (ST),Jatav(SC) & OBC",
130,124,Salikheda,Navalpura,M.P,Sehore,Sehore,Sehore,30-Sep-2019,Study Center,Bhil(ST),
131,125,Nichli Khoree,Sesaipura,M.P,Karahal,Sheopur,Karahal,9-Oct-2019,Seva kutir,Sahariya (ST),
132,126,Linga,Dob,M.P,Tamia,Chhindwara,Tamia,19-Oct-2019,Study Center,"Bhariya & Gond(ST), Dehariya(SC)",
133,127,Dhulaniya,Dob,M.P,Tamia,Chhindwara,Tamia,21-Oct-2019,Shiksha Kutir,"Bhariya & Gond(ST), Katiya(SC)",
134,128,Bhotoopura,Bhotoopura,M.P,Karahal,Sheopur,Karahal,23-Oct-2019,Seva kutir,Sahariya (ST) & OBC,
135,129,Morai,Bankuri,M.P,Karahal,Sheopur,Karahal,23-Oct-2019,Seva kutir,"Sahariya (ST),Jatav(SC) & OBC",
136,130,Kanar Kheda,Bankuri,M.P,Karahal,Sheopur,Karahal,22-Nov-2019,Shiksha Kutir,Sahariya (ST) & OBC,
137,131,Maharbani,Bankuri,M.P,Karahal,Sheopur,Karahal,22-Nov-2019,Seva kutir,"Sahariya (ST),Jatav(SC) & OBC",
138,132,Bijadhana,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,29-Nov-2019,Study Center,"Bhariya & Gond(ST), Dehariya(SC) & OBC",
139,133,Kapoora,Gadhla,M.P,Karahal,Sheopur,Karahal,29-Nov-2019,Shiksha Kutir,Sahariya (ST),
140,134,Gothra,Gadhla,M.P,Karahal,Sheopur,Karahal,30-Nov-2019,Shiksha Kutir,"Sahariya (ST),Jatav(SC) & OBC",
141,135,Sailakheda,Dob,M.P,Parasia,Chhindwara,Parasia,30-Nov-2019,Shiksha Kutir,"Bhariya & Gond(ST), Dehariya(SC) & OBC",
142,,Chikalpani,,M.P,Ichhawar,Sehore,Ichhawar,4-Dec-2019,Closed,Bhil & Gond (ST),28-Apr-2023
143,136,Pahadi,Pahadi,M.P,Karahal,Sheopur,Karahal,25-Dec-2019,Shiksha Kutir,"Sahariya (ST),Jatav(SC)",
144,137,Agra,Pahadi,M.P,Karahal,Sheopur,Karahal,25-Dec-2019,Shiksha Kutir,Sahariya & Bhilala (ST),
145,138,Haripura,Pahadi,M.P,Karahal,Sheopur,Karahal,30-Dec-2019,Shiksha Kutir,Sahariya & Bhilala (ST),
146,139,Ameth,Lahroni,M.P,Karahal,Sheopur,Karahal,30-Dec-2019,Shiksha Kutir,Sahariya (ST) & OBC,
147,140,Lona Pathar,Dob,M.P,Parasia,Chhindwara,Parasia,31-Dec-2019,Shiksha Kutir,"Bhariya & Gond(ST), Dehariya(SC) & OBC",
148,141,Kohka,Dob,M.P,Parasia,Chhindwara,Parasia,1-Jan-2020,Shiksha Kutir,Gond & Pardhan (ST) & OBC,
149,142,Madanpur,Pahadi,M.P,Karahal,Sheopur,Karahal,30-Jan-2020,Shiksha Kutir,Sahariya & Bhilala (ST),
150,143,Badretha,Lahroni,M.P,Karahal,Sheopur,Karahal,31-Jan-2020,Shiksha Kutir,Sahariya & Bhilala (ST),
151,144,Amadhana,Dhobiwada,M.P,Tamia,Chhindwara,Tamia,4-Feb-2020,Study Center,"Bhariya,Mawasi & Gond(ST), Basod(SC) & OBC",
152,145,Sarari Khurd,Silpuri,M.P,Karahal,Sheopur,Karahal,15-Feb-2020,Shiksha Kutir,"Sahariya (ST),Jatav(SC) & OBC",
153,146,Lahroni,Lahroni,M.P,Karahal,Sheopur,Karahal,17-Feb-2020,Shiksha Kutir,"Sahariya & Bhilala (ST),Jatav(SC) & OBC",
154,147,Markadhana,Markadhana,M.P,Tamia,Chhindwara,Tamia,27-Feb-2020,Study Center,Bhariya & Gond(ST) & OBC,
155,148,Bangai,Markadhana,M.P,Tamia,Chhindwara,Tamia,27-Feb-2020,Shiksha Kutir,"Bhariya,Mawasi,Pardhan & Gond(ST) & OBC",
156,149,Gadhla,Gadhla,M.P,Karahal,Sheopur,Karahal,29-Feb-2020,Shiksha Kutir,Sahariya & Bhilala (ST) & OBC,
157,150,Chak Bargawan,Gadhla,M.P,Karahal,Sheopur,Karahal,29-Feb-2020,Shiksha Kutir,Sahariya & Bhilala (ST),
158,151,Nimaniya,Bankuri,M.P,Karahal,Sheopur,Karahal,30-May-2020,Shiksha Kutir,"Sahariya (ST),Jatav,Parihar(SC) & OBC",
159,152,Ramnagar,Bhotoopura,M.P,Karahal,Sheopur,Karahal,30-May-2020,Shiksha Kutir,Sahariya (ST),
160,153,Ranipura Mafi,Bhotoopura,M.P,Karahal,Sheopur,Karahal,29-Jun-2020,Shiksha Kutir,Sahariya (ST) & OBC,
161,154,Sonipura,Bhotoopura,M.P,Karahal,Sheopur,Karahal,29-Jun-2020,Shiksha Kutir,Sahariya (ST),
162,155,Khirkhiri,Kheri,M.P,Karahal,Sheopur,Karahal,2-Jul-2020,Shiksha Kutir,"Sahariya (ST),Jatav,Moghia,Shakya(SC) & OBC",
163,156,Adhwada,Moravan,M.P,Karahal,Sheopur,Karahal,3-Jul-2020,Shiksha Kutir,Sahariya (ST),
164,157,Chak Bilendi,Bhotoopura,M.P,Karahal,Sheopur,Karahal,27-Jul-2020,Shiksha Kutir,Sahariya (ST),
165,158,Jakhda,Lahroni,M.P,Karahal,Sheopur,Karahal,28-Jul-2020,Shiksha Kutir,"Sahariya (ST),Jatav(SC) & OBC",
166,159,Premnagar,Silpuri,M.P,Karahal,Sheopur,Karahal,25-Aug-2020,Shiksha Kutir,Sahariya (ST),
167,160,Dob,Budhera,M.P,Karahal,Sheopur,Karahal,25-Aug-2020,Shiksha Kutir,Sahariya (ST) & OBC,
168,161,Budhera,Budhera,M.P,Karahal,Sheopur,Karahal,31-Aug-2020,Shiksha Kutir,Sahariya (ST) & OBC,
169,162,Chandpur,Lahroni,M.P,Karahal,Sheopur,Karahal,31-Aug-2020,Shiksha Kutir,Sahariya & Bhilala (ST),
170,163,Bhanpur,Mugwani,M.P,Ghughari,Mandla,Mohgaon,10-Sep-2020,Shiksha Kutir,Gond & Baiga (ST) & OBC,
171,164,Mirchakheda,Machla,M.P,Ghughari,Mandla,Mohgaon,11-Sep-2020,Shiksha Kutir,Gond (ST) & OBC,
172,165,Doondi Kheda,Pahadi,M.P,Karahal,Sheopur,Karahal,14-Sep-2020,Shiksha Kutir,Bhil & Bhilala (ST),
173,166,Bhairupura,Bhotoopura,M.P,Karahal,Sheopur,Karahal,14-Sep-2020,Shiksha Kutir,Sahariya (ST),
174,167,Simaiya,Chubhawal,M.P,Ghughari,Mandla,Mohgaon,17-Sep-2020,Shiksha Kutir,Gond (ST) & OBC,
175,168,Nishan,Markadhana,M.P,Tamia,Chhindwara,Tamia,28-Sep-2020,Shiksha Kutir,Gond(ST),
176,169,Harasdiwari,Markadhana,M.P,Tamia,Chhindwara,Tamia,28-Sep-2020,Shiksha Kutir,Bhariya & Gond(ST),
177,170,Pachadhana,Patalkot,M.P,Tamia,Chhindwara,Tamia,29-Sep-2020,Shiksha Kutir,Bhariya & Gond(ST) & OBC,
178,171,Dantee,Kheri,M.P,Karahal,Sheopur,Karahal,29-Sep-2020,Shiksha Kutir,Sahariya (ST),
179,172,Kurkuta,Kariyadeh,M.P,Karahal,Sheopur,Karahal,29-Sep-2020,Shiksha Kutir,Sahariya (ST) & OBC,
180,173,Aawaliya,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,10-Oct-2020,Study Center,Gond & Korku(ST) & Harijan(SC) & OBC,
181,174,Gogaipur,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,10-Oct-2020,Shiksha Kutir,Gond & Korku(ST),
182,175,Dhama,Chakara,M.P,Khalwa,Khandwa,Khalwa,11-Oct-2020,Study Center,"Gond,Korku & Barela Bhil (ST)",
183,176,Suhagi,Chakara,M.P,Khalwa,Khandwa,Khalwa,12-Oct-2020,Shiksha Kutir,Gond & Korku(ST),
184,177,Buti,Chakara,M.P,Khalwa,Khandwa,Khalwa,13-Oct-2020,Study Center,"Gond,Korku,Bhilala & Barela Bhil (ST)",
185,178,Aadakheda,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,15-Oct-2020,Shiksha Kutir,"Gond,Korku,Bhilala (ST) & OBC",
186,179,Junapani,Junapani,M.P,Khalwa,Khandwa,Khalwa,23-Oct-2020,Study Center,"Gond,Korku,Bhilala (ST) & OBC",
187,180,Sawalidhad,Devli khurd,M.P,Khalwa,Khandwa,Khalwa,23-Oct-2020,Seva kutir,"Gond,Korku,Bhilala (ST) & OBC",
188,181,Lohari,Kariyadeh,M.P,Karahal,Sheopur,Karahal,27-Oct-2020,Shiksha Kutir,Sahariya (ST) & OBC,
189,182,Koond,Kariyadeh,M.P,Karahal,Sheopur,Karahal,27-Oct-2020,Shiksha Kutir,Sahariya (ST) & OBC,
190,,Minaidhana,,M.P,Khalwa,Khandwa,Khalwa,28-Oct-2020,Closed,"Gond,Korku,Bhilala & Barela Bhil (ST)",
191,183,Ghutighat,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,29-Oct-2020,Study Center,Gond & Korku(ST),
192,184,Nagotar,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,30-Oct-2020,Study Center,"Gond & Korku(ST),Balai(SC) & OBC",
193,185,Kutbi,Sunderdev,M.P,Khalwa,Khandwa,Khalwa,30-Oct-2020,Study Center,Gond & Korku(ST),
194,186,Rampura Chak,Sesaipura,M.P,Karahal,Sheopur,Karahal,30-Oct-2020,Shiksha Kutir,Sahariya (ST) & Jatav(SC),
195,187,Beel Dabra,Kheri,M.P,Karahal,Sheopur,Karahal,30-Oct-2020,Shiksha Kutir,Sahariya (ST) & Jatav(SC),
